account,date,classification,daily_pnl,trade_count,total_volume_usd,avg_trade_size_usd,win_rate,long_ratio,total_fees
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,Greed,-327505.900056,462,6842632.02,14810.891818181817,0.025974025974025976,0.3008658008658009,1112.89565
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,Fear,1927735.720035,3356,54854631.95,16345.241939809297,0.40554231227651966,0.4684147794994041,6292.416654
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,Greed,20607.446093000002,320,797679.97,2492.74990625,0.53125,0.453125,202.16715108
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,Fear,17098.727055,3533,5982611.5,1693.3516841211435,0.43504104160769885,0.4324936314746674,1664.91466962
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,Neutral,-1.0,5,30351.0,6070.2,0.0,0.4,10.197932
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,Greed,1793.1602149999999,5,159708.30000000002,31941.660000000003,0.8,0.6,34.662051
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,Fear,29970.928216,1136,12310719.5,10836.90096830986,0.43045774647887325,0.4454225352112676,3644.197056
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,Greed,121880.386016,6472,3129795.22,483.5901143386898,0.4437577255871446,0.476823238566131,1079.2967933
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,Fear,10435.095669,6794,3622817.7,533.2378127759788,0.4327347659699735,0.5307624374448042,1137.5274581509
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,Greed,52215.729448,763,2244613.0,2941.8256880733943,0.4744429882044561,0.399737876802097,737.224469
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,Fear,116412.254606,2471,7919556.5600000005,3205.000631323351,0.5337919870497774,0.3528935653581546,2370.023531
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,Greed,0.0,3,477.0,159.0,0.0,1.0,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,Greed,0.0,2,46133.87,23066.935,0.0,1.0,11.072125999999999
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,Extreme Greed,-5564.01614,27,82312.05,3048.5944444444444,0.3333333333333333,0.14814814814814814,3.90258
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,Neutral,215.754798,80,61379.82,767.24775,0.1,0.4375,37.383029
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,Greed,36993.371011,156,402974.52999999997,2583.170064102564,0.46794871794871795,0.41025641025641024,13.18020052
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,Fear,-59349.677108,349,575346.58,1648.5575358166188,0.2636103151862464,0.18911174785100288,56.28775486
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,Greed,34983.381862,144,655891.22,4554.800138888889,0.5277777777777778,0.4097222222222222,139.65668575
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,Fear,-20526.462526,3445,16537484.2,4800.430827285922,0.3193033381712627,0.4612481857764877,1319.00044032
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,Greed,7612.618288,191,532207.47,2786.4265445026176,0.41361256544502617,0.5863874345549738,111.57987806
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,Fear,45883.628955,141,611688.99,4338.219787234042,0.5602836879432624,0.41134751773049644,64.694297857
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,Greed,16102.56859,125,810078.52,6480.62816,0.216,0.144,130.407593
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,Fear,183403.024142,258,1177449.09,4563.756162790698,0.2441860465116279,0.32170542635658916,137.559495979
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,Extreme Greed,0.0,88,99995.52,1136.3127272727272,0.0,1.0,253.10601
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,Neutral,145563.448374,249,438228.42,1759.9534939759035,0.9518072289156626,0.012048192771084338,31.790452000000002
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,Greed,160450.518105,43,289936.95,6742.71976744186,0.8837209302325582,0.0,101.476704
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,Fear,110527.905862,671,1883941.47,2807.6623994038746,0.4828614008941878,0.3144560357675112,303.392309
